season,team_id,Z_mean,Z_max_abs,frac_outlier_90,frac_outlier_95,n_weeks
22,Nyle DiMarco__Peta Murgatroyd,0.468234533444047,1.3441749811172485,0.0,0.0,10
22,Paige VanZant__Mark Ballas,0.5046947836875916,1.1496282815933228,0.0,0.0,10
22,Von Miller__Witney Carson,-0.2131061011127063,1.233733057975769,0.0,0.0,7
22,Wanya Morris__Lindsay Arnold,-1.0136131813956633,1.9301742315292358,0.2222222222222222,0.0,9
23,Amber Rose__Maksim Chmerkoskiy,-0.12461690853039424,1.7678956985473633,0.16666666666666666,0.0,6
23,Babyface__Allison Holker,-0.41784580051898956,1.2398682832717896,0.0,0.0,4
23,Calvin Johnson Jr.__Lindsay Arnold,0.9134576618671417,1.6180665493011475,0.0,0.0,11
23,Jake T. Austin__Jenna Johnson,-1.9472296833992004,2.0181026458740234,1.0,0.5,2
23,James Hinchcliffe__Sharna Burgess,-0.03999360248615796,1.4482522010803223,0.0,0.0,11
23,Jana Kramer__Gleb Savchenko,0.5141304572197524,1.857330083847046,0.09090909090909091,0.0,11
23,Laurie Hernandez__Valentin Chmerkovskiy,-0.5307228847999464,1.6469447612762451,0.09090909090909091,0.0,11
23,Marilu Henner__Derek Hough,0.15808873623609543,1.3188812732696533,0.0,0.0,9
23,Maureen McCormick__Artem Chigvintsev,-0.7867704858737332,2.578230619430542,0.14285714285714285,0.14285714285714285,7
23,Rick Perry__Emma Slater,-0.6793631563584009,1.5795820951461792,0.0,0.0,3
23,Ryan Lochte__Cheryl Burke,0.9183773291297257,1.680722951889038,0.125,0.0,8
23,Terra Jole__Sasha Farber,-0.21951942071318625,1.8664640188217163,0.2,0.0,10
23,Vanilla Ice__Witney Carson,-0.5352959670126438,1.3671289682388306,0.0,0.0,4
24,Bonner Bolton__Sharna Burgess,1.0373661369085312,1.7363988161087036,0.25,0.0,8
24,Charo__Keo Motsepe,-0.5412225872278214,0.7883532047271729,0.0,0.0,3
24,Chris Kattan__Witney Carson,-0.4869332043454051,0.9571635127067566,0.0,0.0,2
24,David Ross__Lindsay Arnold,1.5294544577598572,1.9832149744033813,0.5,0.2,10
24,Erika Jayne__Gleb Savchenko,-0.7539664506912231,1.2160388231277466,0.0,0.0,5
